,index,year,s&p_eps,s&p_closing_prices,real_gdp,average_10y_yield_%,average_annual_inflation
0,5057,1999.0,73.88,1228.099976,12610491.0,5.65,2.2
1,5058,1999.0,73.88,1244.780029,12610491.0,5.65,2.2
2,5059,1999.0,73.88,1272.339966,12610491.0,5.65,2.2
3,5060,1999.0,73.88,1269.72998,12610491.0,5.65,2.2
4,5061,1999.0,73.88,1275.089966,12610491.0,5.65,2.2
5,5062,1999.0,73.88,1263.880005,12610491.0,5.65,2.2
6,5063,1999.0,73.88,1239.51001,12610491.0,5.65,2.2
7,5064,1999.0,73.88,1234.400024,12610491.0,5.65,2.2
8,5065,1999.0,73.88,1212.189941,12610491.0,5.65,2.2
9,5066,1999.0,73.88,1243.26001,12610491.0,5.65,2.2
10,5067,1999.0,73.88,1252.0,12610491.0,5.65,2.2
11,5068,1999.0,73.88,1256.619995,12610491.0,5.65,2.2
12,5069,1999.0,73.88,1235.160034,12610491.0,5.65,2.2
13,5070,1999.0,73.88,1225.189941,12610491.0,5.65,2.2
14,5071,1999.0,73.88,1233.97998,12610491.0,5.65,2.2
15,5072,1999.0,73.88,1252.310059,12610491.0,5.65,2.2
16,5073,1999.0,73.88,1243.170044,12610491.0,5.65,2.2
17,5074,1999.0,73.88,1265.369995,12610491.0,5.65,2.2
18,5075,1999.0,73.88,1279.640015,12610491.0,5.65,2.2
19,5076,1999.0,73.88,1273.0,12610491.0,5.65,2.2
20,5077,1999.0,73.88,1261.98999,12610491.0,5.65,2.2
21,5078,1999.0,73.88,1272.069946,12610491.0,5.65,2.2
22,5079,1999.0,73.88,1248.48999,12610491.0,5.65,2.2
23,5080,1999.0,73.88,1239.400024,12610491.0,5.65,2.2
24,5081,1999.0,73.88,1243.77002,12610491.0,5.65,2.2
25,5082,1999.0,73.88,1216.140015,12610491.0,5.65,2.2
26,5083,1999.0,73.88,1223.550049,12610491.0,5.65,2.2
27,5084,1999.0,73.88,1254.040039,12610491.0,5.65,2.2
28,5085,1999.0,73.88,1230.130005,12610491.0,5.65,2.2
29,5086,1999.0,73.88,1241.869995,12610491.0,5.65,2.2
30,5087,1999.0,73.88,1224.030029,12610491.0,5.65,2.2
31,5088,1999.0,73.88,1237.280029,12610491.0,5.65,2.2
32,5089,1999.0,73.88,1239.219971,12610491.0,5.65,2.2
33,5090,1999.0,73.88,1272.140015,12610491.0,5.65,2.2
34,5091,1999.0,73.88,1271.180054,12610491.0,5.65,2.2
35,5092,1999.0,73.88,1253.410034,12610491.0,5.65,2.2
