,index,year,s&p_eps,s&p_closing_prices,real_gdp,average_10y_yield_%,average_annual_inflation
0,2529,1989.0,46.81,275.309998,9095857.787626468,8.49,4.8
1,2530,1989.0,46.81,279.429993,9095857.787626468,8.49,4.8
2,2531,1989.0,46.81,280.01001,9095857.787626468,8.49,4.8
3,2532,1989.0,46.81,280.670013,9095857.787626468,8.49,4.8
4,2533,1989.0,46.81,280.980011,9095857.787626468,8.49,4.8
5,2534,1989.0,46.81,280.380005,9095857.787626468,8.49,4.8
6,2535,1989.0,46.81,282.01001,9095857.787626468,8.49,4.8
7,2536,1989.0,46.81,283.170013,9095857.787626468,8.49,4.8
8,2537,1989.0,46.81,283.869995,9095857.787626468,8.49,4.8
9,2538,1989.0,46.81,284.140015,9095857.787626468,8.49,4.8
10,2539,1989.0,46.81,283.549988,9095857.787626468,8.49,4.8
11,2540,1989.0,46.81,286.52999900000003,9095857.787626468,8.49,4.8
12,2541,1989.0,46.81,286.910004,9095857.787626468,8.49,4.8
13,2542,1989.0,46.81,286.630005,9095857.787626468,8.49,4.8
14,2543,1989.0,46.81,284.5,9095857.787626468,8.49,4.8
15,2544,1989.0,46.81,288.48999,9095857.787626468,8.49,4.8
16,2545,1989.0,46.81,289.140015,9095857.787626468,8.49,4.8
17,2546,1989.0,46.81,291.690002,9095857.787626468,8.49,4.8
18,2547,1989.0,46.81,293.820007,9095857.787626468,8.49,4.8
19,2548,1989.0,46.81,294.98999,9095857.787626468,8.49,4.8
20,2549,1989.0,46.81,297.47000099999997,9095857.787626468,8.49,4.8
21,2550,1989.0,46.81,297.089996,9095857.787626468,8.49,4.8
22,2551,1989.0,46.81,296.839996,9095857.787626468,8.49,4.8
23,2552,1989.0,46.81,296.97000099999997,9095857.787626468,8.49,4.8
24,2553,1989.0,46.81,296.040009,9095857.787626468,8.49,4.8
25,2554,1989.0,46.81,299.630005,9095857.787626468,8.49,4.8
26,2555,1989.0,46.81,298.649994,9095857.787626468,8.49,4.8
27,2556,1989.0,46.81,296.059998,9095857.787626468,8.49,4.8
28,2557,1989.0,46.81,292.019989,9095857.787626468,8.49,4.8
29,2558,1989.0,46.81,292.540009,9095857.787626468,8.49,4.8
30,2559,1989.0,46.81,291.809998,9095857.787626468,8.49,4.8
31,2560,1989.0,46.81,294.23999,9095857.787626468,8.49,4.8
32,2561,1989.0,46.81,294.809998,9095857.787626468,8.49,4.8
33,2562,1989.0,46.81,296.76001,9095857.787626468,8.49,4.8
34,2563,1989.0,46.81,295.980011,9095857.787626468,8.49,4.8
35,2564,1989.0,46.81,290.910004,9095857.787626468,8.49,4.8
36,2565,1989.0,46.81,292.049988,9095857.787626468,8.49,4.8
37,2566,1989.0,46.81,287.130005,9095857.787626468,8.49,4.8
38,2567,1989.0,46.81,287.820007,9095857.787626468,8.49,4.8
39,2568,1989.0,46.81,288.859985,9095857.787626468,8.49,4.8
40,2569,1989.0,46.81,287.109985,9095857.787626468,8.49,4.8
41,2570,1989.0,46.81,289.950012,9095857.787626468,8.49,4.8
42,2571,1989.0,46.81,291.179993,9095857.787626468,8.49,4.8
43,2572,1989.0,46.81,294.809998,9095857.787626468,8.49,4.8
44,2573,1989.0,46.81,293.869995,9095857.787626468,8.49,4.8
45,2574,1989.0,46.81,294.079987,9095857.787626468,8.49,4.8
46,2575,1989.0,46.81,293.929993,9095857.787626468,8.49,4.8
47,2576,1989.0,46.81,292.880005,9095857.787626468,8.49,4.8
48,2577,1989.0,46.81,295.320007,9095857.787626468,8.49,4.8
49,2578,1989.0,46.81,295.140015,9095857.787626468,8.49,4.8
50,2579,1989.0,46.81,296.670013,9095857.787626468,8.49,4.8
51,2580,1989.0,46.81,299.440002,9095857.787626468,8.49,4.8
52,2581,1989.0,46.81,292.690002,9095857.787626468,8.49,4.8
53,2582,1989.0,46.81,289.920013,9095857.787626468,8.49,4.8
54,2583,1989.0,46.81,291.329987,9095857.787626468,8.49,4.8
55,2584,1989.0,46.81,290.48999,9095857.787626468,8.49,4.8
56,2585,1989.0,46.81,288.980011,9095857.787626468,8.49,4.8
57,2586,1989.0,46.81,290.570007,9095857.787626468,8.49,4.8
58,2587,1989.0,46.81,291.589996,9095857.787626468,8.49,4.8
59,2588,1989.0,46.81,292.350006,9095857.787626468,8.49,4.8
60,2589,1989.0,46.81,292.519989,9095857.787626468,8.49,4.8
61,2590,1989.0,46.81,294.869995,9095857.787626468,8.49,4.8
62,2591,1989.0,46.81,296.390015,9095857.787626468,8.49,4.8
63,2592,1989.0,46.81,295.309998,9095857.787626468,8.49,4.8
64,2593,1989.0,46.81,296.23999,9095857.787626468,8.49,4.8
65,2594,1989.0,46.81,295.290009,9095857.787626468,8.49,4.8
66,2595,1989.0,46.81,297.160004,9095857.787626468,8.49,4.8
67,2596,1989.0,46.81,297.109985,9095857.787626468,8.49,4.8
68,2597,1989.0,46.81,298.48999,9095857.787626468,8.49,4.8
69,2598,1989.0,46.81,298.98999,9095857.787626468,8.49,4.8
